10	 177.685092	 -300.549719	 2.299206	 1.749699	 2.299206	 1.749699	 287.311922	 -549.872605
11	 127.101370	 -346.973443	 -17.393921	 5.112100	 -17.393921	 5.112100	 37.073337	 -646.073630
12	 -2.620535	 -317.526909	 -91.101142	 47.181934	 -91.101142	 47.181934	 -451.319470	 -730.507903
13	 26.600240	 -282.664217	 -96.733058	 94.263207	 -96.733058	 94.263207	 -340.641941	 -528.396876
14	 106.349338	 -198.488407	 -29.614941	 23.826494	 -29.614941	 23.826494	 5.014882	 -301.415920
15	 128.518279	 -100.763767	 36.874147	 -18.145158	 36.874147	 -18.145158	 184.193652	 -258.914395
16	 107.147055	 -80.345039	 51.314714	 21.171933	 51.314714	 21.171933	 179.714545	 -171.148286
17	 36.597022	 -68.166747	 -3.403257	 21.556728	 -3.403257	 21.556728	 2.495772	 -101.825894
18	 -19.261523	 -53.580135	 -5.159150	 0.820192	 -5.159150	 0.820192	 -117.650438	 -75.092565
19	 -6.376208	 -78.457583	 5.591520	 26.617477	 5.591520	 26.617477	 -60.177920	 -122.295549
20	 215.992952	 -182.306923	 -1.759240	 93.914402	 -1.759240	 93.914402	 361.640724	 -327.545960
21	 291.776620	 -224.615836	 -0.740719	 80.377920	 -0.740719	 80.377920	 343.872852	 -259.211798
22	 314.011895	 -154.203478	 71.054195	 45.445566	 71.054195	 45.445566	 501.871787	 -107.544053
23	 171.300275	 -133.129175	 167.019740	 28.830236	 167.019740	 28.830236	 483.809145	 -165.747803
24	 13.319894	 -59.074161	 140.687796	 22.530307	 140.687796	 22.530307	 124.022645	 -18.700595
25	 102.052732	 74.391222	 61.584847	 3.803097	 61.584847	 3.803097	 249.397325	 176.100709
26	 88.144368	 -62.302478	 58.466368	 27.309523	 58.466368	 27.309523	 152.243505	 -2.419873
27	 132.104546	 -222.919125	 12.006364	 30.646015	 12.006364	 30.646015	 167.499939	 -229.097930
28	 89.072934	 -78.273392	 6.185422	 8.764229	 6.185422	 8.764229	 120.569997	 -117.800486
29	 77.496774	 -60.923748	 75.277729	 -19.138395	 75.277729	 -19.138395	 239.306305	 -111.712723
30	 129.219609	 -185.285129	 209.392830	 -16.920568	 209.392830	 -16.920568	 429.035035	 -260.647692
31	 14.945664	 -87.335767	 118.928009	 -15.852263	 118.928009	 -15.852263	 60.449241	 -172.635846
32	 -34.623799	 -150.097211	 15.933561	 3.578782	 15.933561	 3.578782	 -163.426990	 -242.544051
33	 -35.352782	 -257.456893	 78.906340	 -40.839237	 78.906340	 -40.839237	 -199.239088	 -491.932576
34	 84.445197	 -12.582883	 191.990322	 -47.726901	 191.990322	 -47.726901	 212.472936	 -88.359319
35	 184.352596	 48.741022	 265.325483	 -17.705514	 265.325483	 -17.705514	 610.737271	 227.241042
36	 190.234461	 32.481622	 224.937931	 -20.075957	 224.937931	 -20.075957	 632.217945	 140.761328
37	 157.770927	 -16.696736	 193.604541	 7.937499	 193.604541	 7.937499	 549.396765	 64.285186
38	 112.311322	 -8.137749	 171.404618	 12.324101	 171.404618	 12.324101	 336.493671	 61.425403
39	 163.950761	 11.828064	 173.543161	 23.451835	 173.543161	 23.451835	 410.284341	 71.458717
40	 164.699215	 -39.414879	 118.303468	 23.326619	 118.303468	 23.326619	 353.141160	 15.930886
41	 170.712463	 8.443397	 14.452187	 49.696674	 14.452187	 49.696674	 318.837016	 174.634693
42	 216.215541	 73.627826	 -13.794751	 48.778588	 -13.794751	 48.778588	 430.865813	 267.039646
43	 126.190717	 90.800177	 -6.691576	 12.277373	 -6.691576	 12.277373	 256.728565	 197.949286
44	 78.249923	 54.668657	 -95.186967	 21.661455	 -95.186967	 21.661455	 116.064028	 70.218804
45	 101.654879	 28.893950	 -105.195459	 18.985440	 -105.195459	 18.985440	 102.898499	 103.301222
46	 117.396624	 35.464062	 -13.915286	 2.459414	 -13.915286	 2.459414	 87.458305	 104.977499
47	 126.516404	 74.138103	 68.183363	 13.741952	 68.183363	 13.741952	 116.315760	 99.141735
48	 194.095141	 -5.922583	 71.612684	 -6.404371	 71.612684	 -6.404371	 167.118181	 -92.876730
49	 155.114969	 -62.792286	 70.596083	 -21.048662	 70.596083	 -21.048662	 118.923345	 -106.725682
50	 266.463389	 41.873644	 184.440065	 6.049373	 184.440065	 6.049373	 506.421843	 128.267642
51	 397.726405	 108.757977	 95.477537	 27.572360	 95.477537	 27.572360	 707.805773	 172.525979
52	 209.515433	 94.995605	 46.195555	 -16.041589	 46.195555	 -16.041589	 339.552616	 117.846629
53	 42.566629	 81.671061	 -15.377112	 -9.868124	 -15.377112	 -9.868124	 105.412000	 219.216559
54	 -71.377130	 189.947386	 -69.845328	 6.182543	 -69.845328	 6.182543	 -176.862255	 511.246091
55	 -27.440094	 169.824668	 -51.020672	 -28.351157	 -51.020672	 -28.351157	 -5.910420	 285.073879
56	 26.605181	 134.982496	 -120.494525	 -22.661004	 -120.494525	 -22.661004	 99.369989	 337.346596
57	 16.447004	 156.520937	 -5.765317	 5.930289	 -5.765317	 5.930289	 -82.998530	 391.357636
58	 143.439036	 66.772800	 273.740503	 29.966758	 273.740503	 29.966758	 284.149575	 226.030023
59	 194.700230	 16.452720	 254.173079	 39.353442	 254.173079	 39.353442	 659.014369	 84.300641
60	 91.079019	 112.548105	 58.171687	 21.822741	 58.171687	 21.822741	 274.996881	 258.519232
61	 42.698502	 250.266038	 -56.419575	 -39.313998	 -56.419575	 -39.313998	 67.588315	 427.020992
62	 5.434426	 50.857307	 -38.140548	 11.117490	 -38.140548	 11.117490	 16.042113	 63.028416
